odd_home,odd_away,score_home,score_away
37.14,66.85,121,119
58.24,46.79,96,99
76.37,27.43,109,99
24.53,80.26,94,100
56.15,47.52,91,95
61.74,41.92,105,120
19.91,85.07,106,120
97.87,5.79,122,116
18.67,87.56,118,126
69.29,34.43,114,108
49.68,54.23,101,121
58.03,45.90,107,118
72.42,31.55,94,98
53.39,50.26,122,120
89.43,14.17,123,103
63.46,40.44,114,110
71.86,31.96,99,111
20.69,83.19,110,114
76.05,27.83,110,106
45.17,58.70,91,118
54.36,49.31,106,98
59.23,44.42,123,114
90.48,14.28,120,105
7.06,96.64,111,130
70.95,32.90,104,109
63.19,40.38,121,93
84.64,19.11,107,99
54.02,49.65,85,105
66.43,37.31,123,94
62.37,41.55,103,122
83.46,20.26,116,106
74.55,29.26,101,87
40.58,62.13,88,104
24.61,80.54,109,127
95.54,9.24,116,114
87.71,16.07,95,103
82.38,22.46,120,95
98.06,4.49,124,102
77.73,28.39,138,134
35.57,68.20,103,117
34.83,69.01,105,113
83.07,22.11,119,90
50.99,53.97,101,103
81.39,22.53,111,99
14.15,89.59,108,118
77.49,28.65,135,115
65.86,38.93,115,117
23.75,80.25,94,112
61.80,41.83,128,112
98.48,7.42,115,99
58.48,44.21,113,116
81.24,21.27,122,116
61.61,43.27,98,93
62.11,41.67,115,117
79.99,22.74,128,138
98.93,4.64,135,105
77.77,25.92,111,109
57.41,48.51,114,95
62.82,44.16,96,120
80.75,25.46,101,100
77.12,26.90,147,140
47.81,56.19,109,129
98.45,6.31,129,112
57.02,49.26,101,105
64.25,40.51,117,108
75.04,29.06,142,145
32.33,72.57,101,111
67.85,36.98,120,115
79.50,24.42,107,100
41.20,61.41,111,142
83.95,18.86,124,86
16.14,86.57,142,126
85.39,18.27,131,97
71.16,32.64,149,107
45.68,58.35,117,121
53.71,49.08,115,107
74.33,30.59,100,94
71.53,32.27,93,108
56.57,47.08,112,94
51.15,52.70,109,102
91.28,12.41,95,101
67.56,37.12,116,113
31.29,73.71,114,119
39.81,64.35,116,109
25.74,78.02,114,133
20.95,84.05,105,108
41.30,62.67,138,140
71.97,31.81,104,97
93.92,9.74,110,102
27.67,78.56,102,93
43.33,60.50,110,106
75.97,27.93,122,112
24.22,79.63,105,103
56.48,47.36,112,108
73.95,30.96,104,109
99.01,7.94,146,109
74.48,34.07,127,96
76.96,27.76,113,95
93.00,11.82,141,113
64.35,41.66,115,119
28.36,79.73,106,121
89.98,13.92,122,105
78.80,25.02,121,123
53.07,50.86,113,106
82.59,21.41,112,102
48.95,55.03,154,147
70.34,37.98,121,100
40.69,63.25,115,99
52.58,52.54,113,100
88.09,15.88,124,112
87.64,16.27,106,93
91.70,11.90,104,94
44.93,58.98,109,116
50.36,54.64,96,86
98.19,6.49,140,124
78.05,27.83,116,100
79.69,25.16,135,108
36.71,66.85,123,106
95.58,10.22,122,95
70.34,35.90,128,109
38.81,64.96,115,111
82.20,22.79,117,119
60.33,42.49,99,103
87.39,16.39,104,101
23.99,78.71,115,123
72.85,31.16,132,115
93.13,12.98,111,101
60.36,43.29,111,95
79.69,25.17,97,107
50.16,53.80,125,113
69.18,35.96,114,102
61.32,42.36,114,95
90.17,12.70,116,95
50.12,53.91,107,119
59.71,44.13,113,119
49.58,54.29,121,105
84.43,21.52,98,116
25.64,78.23,106,82
45.46,58.24,100,117
70.80,34.33,106,96
81.79,22.07,108,86
61.25,42.43,110,101
26.32,81.09,123,127
69.72,34.37,116,123
82.61,21.14,108,88
16.30,87.56,98,133
76.51,29.61,106,100
35.06,68.83,105,110
76.44,27.26,123,110
64.66,39.25,112,119
53.56,49.30,109,111
33.01,71.03,111,121
90.14,14.80,144,112
58.24,45.29,114,93
24.08,79.99,116,119
63.99,39.75,100,109
76.04,28.01,115,109
60.39,44.45,120,103
15.18,88.71,91,117
78.12,24.44,134,135
36.31,67.33,113,117
66.68,36.98,125,107
38.19,66.99,100,107
47.64,56.13,127,132
73.73,31.46,115,102
44.84,59.05,84,112
76.94,26.82,94,101
43.82,58.97,126,121
49.67,54.20,84,122
37.54,66.45,92,117
77.17,26.73,114,98
44.25,59.51,113,119
89.78,15.12,115,108
54.69,49.26,108,113
81.26,21.13,121,98
49.09,54.69,122,116
15.24,89.73,109,132
68.63,37.52,123,114
73.00,31.94,122,102
59.77,44.05,113,101
47.20,57.91,120,111
83.04,20.67,125,100
97.48,6.17,116,108
60.40,43.37,121,114
65.34,38.21,129,95
51.16,52.43,105,103
67.22,36.40,104,113
85.35,19.59,95,89
49.87,53.96,109,107
54.21,49.43,111,122
32.14,71.77,105,115
39.92,63.86,118,122
36.19,67.54,103,112
84.28,19.47,129,97
63.55,40.22,111,108
37.08,66.68,104,108
37.12,66.57,130,126
85.81,19.03,129,115
24.54,79.57,107,118
70.26,33.49,102,99
43.49,60.46,102,118
90.22,13.54,118,94
82.80,21.18,120,123
60.90,42.69,114,112
67.68,38.13,100,87
76.45,28.37,125,88
41.81,62.17,116,87
60.64,43.09,92,101
78.65,28.57,109,110
61.98,40.58,97,114
70.13,33.46,117,116
40.09,63.84,127,113
94.32,13.67,112,96
65.71,38.11,127,118
51.60,50.03,122,119
69.00,34.66,111,103
45.06,58.60,94,119
78.33,24.29,95,87
36.08,67.81,121,129
49.21,54.69,134,132
50.19,53.60,104,106
60.07,43.48,106,95
74.02,29.91,120,122
78.65,25.06,117,96
80.04,26.20,101,127
68.32,36.46,121,114
45.76,58.22,113,109
21.44,83.49,95,109
63.08,40.88,99,107
77.14,28.78,121,118
90.04,13.68,129,127
68.89,36.15,112,114
77.89,25.85,119,103
83.50,19.23,111,103
52.20,54.19,92,112
52.29,51.35,91,115
53.65,51.46,122,117
90.79,12.87,105,89
84.20,20.87,95,98
60.48,43.40,106,107
84.81,20.14,120,116
61.97,41.78,108,101
52.75,51.18,94,87
79.66,24.10,126,101
61.33,41.21,149,146
60.88,41.99,132,111
71.73,32.34,112,104
55.52,50.56,90,120
61.35,43.57,102,99
67.39,38.58,124,98
43.50,60.43,107,120
40.37,64.44,90,80
39.14,64.64,106,114
57.57,46.20,107,114
69.20,34.49,98,86
84.78,20.18,126,110
59.27,45.48,125,121
49.51,56.32,101,99
70.61,31.71,99,92
43.09,61.47,113,132
52.40,51.57,108,103
54.62,49.45,93,96
91.15,17.16,136,118
85.50,18.46,123,115
73.02,29.67,123,129
91.36,15.73,103,111
60.13,43.59,99,96
96.83,7.95,110,99
37.84,65.93,90,129
85.99,17.80,131,109
60.26,43.34,126,118
47.80,55.98,118,110
53.78,50.07,115,110
95.43,8.51,91,92
95.19,8.47,110,93
49.35,54.48,127,131
55.90,49.21,123,96
70.22,37.29,102,97
80.11,27.07,132,105
87.40,17.42,121,96
44.78,59.28,110,128
47.19,57.81,104,107
64.53,39.22,95,86
60.31,43.20,113,120
65.59,38.33,96,102
37.24,66.82,128,110
93.22,11.69,110,99
20.38,84.65,105,128
70.06,33.71,144,127
77.47,27.61,110,104
32.44,71.46,107,99
79.91,23.79,93,98
31.96,71.77,97,105
48.22,55.75,100,128
45.11,57.46,113,104
27.92,75.75,96,89
45.77,58.02,109,98
53.68,50.22,128,122
32.47,71.46,125,130
58.44,45.17,97,100
64.24,40.50,125,118
23.33,78.33,102,114
53.56,50.13,101,113
86.64,18.21,129,108
80.22,23.42,124,126
38.40,65.53,99,89
74.87,28.98,97,91
64.92,38.75,125,87
71.45,32.18,126,111
81.86,21.94,93,113
37.75,65.82,141,130
84.30,19.31,111,84
87.16,15.61,114,107
64.64,41.15,92,83
41.04,61.55,118,114
74.38,29.55,108,107
55.70,48.28,113,106
51.19,55.23,113,97
66.49,37.20,124,127
39.09,65.70,125,130
45.75,59.23,99,123
91.54,14.22,111,86
68.80,37.32,111,104
78.64,24.05,116,108
64.07,39.77,108,105
64.38,40.43,105,99
24.44,78.33,119,123
60.83,42.90,101,76
49.73,53.06,89,108
80.46,23.46,108,92
62.11,41.56,122,113
51.85,51.83,113,100
67.25,35.33,109,101
94.19,9.54,116,102
27.80,76.26,107,119
34.96,68.87,110,97
61.98,41.70,99,104
39.95,63.70,108,116
89.19,15.84,98,121
63.08,40.60,113,105
22.10,82.98,77,133
54.25,50.63,88,111
38.59,65.53,106,98
23.06,80.83,116,101
51.36,52.60,104,112
73.96,29.87,107,97
36.78,67.24,107,104
60.36,43.40,95,105
20.69,83.06,98,115
45.97,56.80,133,120
18.45,85.19,114,112
73.97,29.87,103,107
21.21,82.98,106,105
41.68,63.17,110,129
58.60,45.37,113,107
62.33,41.43,111,117
67.72,35.95,90,112
48.54,55.42,118,91
86.27,17.44,108,86
96.51,7.18,128,100
78.80,26.21,121,113
61.74,42.12,96,86
72.44,31.37,115,92
64.11,38.36,121,104
66.22,38.83,132,106
78.34,25.47,113,102
47.21,56.54,117,131
36.08,67.88,112,114
15.25,89.77,105,129
43.19,60.79,118,124
38.92,65.00,105,122
81.79,22.04,139,105
51.88,53.06,111,102
61.89,40.56,90,105
76.62,29.52,96,90
41.59,61.04,103,91
51.27,53.62,126,129
13.65,92.37,111,128
70.62,35.27,97,99
41.43,61.15,107,110
79.62,24.35,103,106
41.18,61.43,83,110
36.95,66.86,114,110
45.99,58.00,131,118
36.59,67.04,102,100
66.94,36.92,103,95
58.95,46.80,109,119
92.69,12.21,120,96
45.45,58.42,111,110
19.02,84.81,95,106
97.68,5.97,121,105
54.07,51.91,109,118
34.86,71.28,111,102
76.89,26.98,102,88
24.73,82.27,136,134
68.51,35.19,114,103
49.03,54.93,112,113
33.77,69.99,85,99
45.45,62.70,106,101
92.65,12.23,124,109
38.08,66.66,105,136
41.24,62.44,125,131
88.79,14.83,128,95
60.40,42.49,111,119
75.78,28.05,107,88
84.64,19.40,123,98
73.60,30.29,104,96
50.48,53.44,121,133
86.52,17.30,131,128
91.94,12.93,115,99
87.57,16.16,115,112
67.02,37.87,108,128
95.83,7.80,116,113
65.72,37.91,128,89
73.85,28.82,125,104
86.18,16.33,100,83
40.94,63.91,91,101
85.72,19.03,108,94
88.01,15.69,117,91
54.88,48.74,117,85
43.03,59.66,104,109
29.66,74.28,114,122
79.51,23.14,113,115
78.79,23.99,115,108
70.06,33.60,116,110
62.07,41.59,88,121
26.42,76.21,107,108
62.40,41.30,107,124
38.27,66.55,110,107
34.92,69.88,95,102
60.59,43.36,135,131
67.99,37.87,100,104
35.98,67.68,112,133
35.10,68.71,124,123
32.57,71.03,125,127
81.84,20.79,98,103
95.17,8.50,125,115
83.26,23.91,118,107
81.99,22.91,104,108
40.63,62.10,113,104
74.65,29.32,117,116
79.76,24.90,135,129
92.98,10.69,111,96
74.67,29.09,98,105
66.12,37.80,124,114
33.48,70.19,117,108
48.82,55.00,125,97
62.78,42.41,90,83
84.01,21.96,112,87
94.80,10.84,114,116
40.40,64.47,96,103
50.60,53.30,100,111
78.00,27.00,109,104
28.46,76.65,96,114
22.32,80.42,114,109
88.69,15.89,112,121
87.82,14.85,125,107
41.36,63.26,116,111
67.64,36.07,112,107
48.54,55.34,102,112
